Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
1,1,1,764,570.667,0,0.9,0,0,NA,NA,NA,NA,NA
2,1,2,812,532,0,0,61.637,61.637,NA,61.637,NA,-38.853,NA
3,1,3,840,501.333,0,1.2,103.163,102.874,NA,41.526,NA,-47.603,-8.749
4,1,4,866.667,453.333,0,3.1,158.073,155.909,NA,54.91,NA,-60.945,-13.343
5,1,5,881.333,409.333,0,2,204.453,199.488,NA,46.38,NA,-71.565,-10.62
6,1,6,881.333,356,0,0.9,257.787,244.64,NA,53.333,NA,-90,-18.435
7,1,7,881.333,312,0,21.1,301.787,284.034,NA,44,NA,-90,0
8,1,8,857.333,257.333,0,16.3,361.49,326.939,NA,59.703,NA,-113.703,-23.703
9,1,9,830.667,222.667,0,16.1,405.226,354.328,NA,43.737,NA,-127.569,-13.866
10,1,10,804,196,0,9.1,442.939,376.796,NA,37.712,NA,-135,-7.431
11,1,11,770.667,170.667,0,10.1,484.806,400.056,NA,41.868,NA,-142.765,-7.765
12,1,12,729.333,152,0,10.1,530.159,420.099,NA,45.353,NA,-155.695,-12.93
13,1,13,684,150.667,0,5.3,575.512,427.551,NA,45.353,NA,-178.315,-22.62
14,1,14,646.667,146.667,0,14.1,613.059,439.935,NA,37.547,NA,-173.884,4.431
15,1,15,606.667,153.333,0,8.7,653.611,446.005,NA,40.552,NA,170.538,-15.578
16,1,16,577.333,169.333,0,6,687.024,442.62,NA,33.413,NA,151.39,-19.148
17,1,17,544,188,0,7.7,725.228,441.4,NA,38.204,NA,150.751,-0.638
18,1,18,512,214.667,0,3.8,766.883,436.165,NA,41.655,NA,140.194,-10.557
19,1,19,492,252,0,6.7,809.236,418.966,NA,42.353,NA,118.179,-22.016
20,1,20,473.333,285.333,0,6.7,847.44,407.311,NA,38.204,NA,119.249,1.07
21,1,21,462.667,320,0,13.1,883.711,391.964,NA,36.271,NA,107.103,-12.146
22,1,22,462.667,358.667,0,10.1,922.377,368.437,NA,38.667,NA,90,-17.103
23,1,23,468,405.333,0,12,969.348,339.044,NA,46.97,NA,83.48,-6.52
24,1,24,478.667,448,0,6,1013.328,310.584,NA,43.98,NA,75.964,-7.516
25,1,25,497.333,485.333,0,9,1055.067,279.987,NA,41.74,NA,63.435,-12.529
26,1,26,529.333,518.667,0,7.7,1101.275,240.359,NA,46.207,NA,46.169,-17.266
27,1,27,566.667,548,0,9,1148.753,198.631,NA,47.479,NA,38.157,-8.012
28,1,28,613.333,565.333,0,7.8,1198.535,150.761,NA,49.782,NA,20.376,-17.781
29,1,29,658.667,565.333,0,185.1,1243.868,105.468,NA,45.333,NA,0,-20.376
30,1,30,694.667,566.667,0,10.7,1279.893,69.449,NA,36.025,NA,2.121,2.121
31,1,31,730.667,557.333,0,18.1,1317.083,35.901,NA,37.19,NA,-14.534,-16.656
32,1,32,777.333,534.667,0,2.7,1368.964,38.39,NA,51.88,NA,-25.907,-11.372
33,1,33,806.667,506.667,0,11.8,1409.515,76.918,NA,40.552,NA,-43.668,-17.761
34,1,34,833.333,476,0,14.1,1450.155,117.341,NA,40.639,NA,-48.991,-5.323
35,1,35,858.667,430.667,0,10.1,1502.086,169.002,NA,51.932,NA,-60.803,-11.812
36,1,36,868,388,0,13.1,1545.762,210.198,NA,43.676,NA,-77.661,-16.858
37,1,37,868,341.333,0,3.1,1592.428,251.813,NA,46.667,NA,-90,-12.339
38,1,38,860,300,0,22.7,1634.529,287.187,NA,42.1,NA,-100.954,-10.954
39,1,39,842.667,258.667,0,20.1,1679.349,321.765,NA,44.821,NA,-112.751,-11.797
40,1,40,817.333,218.667,0,9.1,1726.697,356.017,NA,47.347,NA,-122.347,-9.596
41,1,41,785.333,193.333,0,8.1,1767.511,377.936,NA,40.814,NA,-141.633,-19.285
42,1,42,749.333,166.667,0,14.1,1812.312,404.266,NA,44.801,NA,-143.471,-1.839
43,1,43,705.333,153.333,0,4.1,1858.287,421.437,NA,45.976,NA,-163.142,-19.67
44,1,44,652,153.333,0,17.1,1911.621,432.101,NA,53.333,NA,180,-16.858
45,1,45,581.333,176,0,4.7,1985.834,434.89,NA,74.213,NA,162.216,-17.784
46,1,46,548,189.333,0,6,2021.735,438.259,NA,35.901,NA,158.199,-4.018
47,1,47,518.667,218.667,0,6.7,2063.218,429.06,NA,41.484,NA,135,-23.199
48,1,48,494.667,250.667,0,11,2103.218,418.259,NA,40,NA,126.87,-8.13
49,1,49,473.333,301.333,0,9,2158.193,396.267,NA,54.975,NA,112.834,-14.036
50,1,50,469.333,386.667,0,10.7,2243.62,347.397,NA,85.427,NA,92.684,-20.15
51,1,51,484,440,0,5,2298.933,308.988,NA,55.313,NA,74.624,-18.06
52,1,52,501.333,480,0,9.2,2342.528,277.874,NA,43.594,NA,66.571,-8.052
53,1,53,532,512,0,8,2386.85,239.303,NA,44.322,NA,46.219,-20.352
