Nr,TID,PID,x,y,t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg],x [pixel],y [pixel]
1,1,1,63.66666667,47.55558333,0.008333333,0.9,0,0,NA,NA,NA,NA,NA,764,570.667
2,1,2,67.66666667,44.33333333,0.016666667,0,61.637,61.637,NA,61.637,NA,-38.853,NA,812,532
3,1,3,70,41.77775,0.025,1.2,103.163,102.874,NA,41.526,NA,-47.603,-8.749,840,501.333
4,1,4,72.22225,37.77775,0.033333333,3.1,158.073,155.909,NA,54.91,NA,-60.945,-13.343,866.667,453.333
5,1,5,73.44441667,34.11108333,0.041666667,2,204.453,199.488,NA,46.38,NA,-71.565,-10.62,881.333,409.333
6,1,6,73.44441667,29.66666667,0.05,0.9,257.787,244.64,NA,53.333,NA,-90,-18.435,881.333,356
7,1,7,73.44441667,26,0.058333333,21.1,301.787,284.034,NA,44,NA,-90,0,881.333,312
8,1,8,71.44441667,21.44441667,0.066666667,16.3,361.49,326.939,NA,59.703,NA,-113.703,-23.703,857.333,257.333
9,1,9,69.22225,18.55558333,0.075,16.1,405.226,354.328,NA,43.737,NA,-127.569,-13.866,830.667,222.667
10,1,10,67,16.33333333,0.083333333,9.1,442.939,376.796,NA,37.712,NA,-135,-7.431,804,196
11,1,11,64.22225,14.22225,0.091666667,10.1,484.806,400.056,NA,41.868,NA,-142.765,-7.765,770.667,170.667
12,1,12,60.77775,12.66666667,0.1,10.1,530.159,420.099,NA,45.353,NA,-155.695,-12.93,729.333,152
13,1,13,57,12.55558333,0.108333333,5.3,575.512,427.551,NA,45.353,NA,-178.315,-22.62,684,150.667
14,1,14,53.88891667,12.22225,0.116666667,14.1,613.059,439.935,NA,37.547,NA,-173.884,4.431,646.667,146.667
15,1,15,50.55558333,12.77775,0.125,8.7,653.611,446.005,NA,40.552,NA,170.538,-15.578,606.667,153.333
16,1,16,48.11108333,14.11108333,0.133333333,6,687.024,442.62,NA,33.413,NA,151.39,-19.148,577.333,169.333
17,1,17,45.33333333,15.66666667,0.141666667,7.7,725.228,441.4,NA,38.204,NA,150.751,-0.638,544,188
18,1,18,42.66666667,17.88891667,0.15,3.8,766.883,436.165,NA,41.655,NA,140.194,-10.557,512,214.667
19,1,19,41,21,0.158333333,6.7,809.236,418.966,NA,42.353,NA,118.179,-22.016,492,252
20,1,20,39.44441667,23.77775,0.166666667,6.7,847.44,407.311,NA,38.204,NA,119.249,1.07,473.333,285.333
21,1,21,38.55558333,26.66666667,0.175,13.1,883.711,391.964,NA,36.271,NA,107.103,-12.146,462.667,320
22,1,22,38.55558333,29.88891667,0.183333333,10.1,922.377,368.437,NA,38.667,NA,90,-17.103,462.667,358.667
